"מקט פריט","תיאור עברית","תיאור אנגלית","קיים?","מחיר ספק","קטגוריה","אחוז רווח","CBM","יחידות בקרטון","חסרים"
"150-30007012","רדיד אלומיניום שלישייה 30CM 7.5M 12Mic ארוז 12 בקרטון","Aluminum Foil (3pcs) 30CM 7.5M 12Mic","כן","14.4","-","11","0.027","12","הכל בסדר"
"150-30007014","רדיד אלומיניום שלישייה 30CM 7.5M 14Mic","Aluminum Foil (3pcs) 30CM 7.5M 14Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-30007015","רדיד אלומיניום זוג 30CM 7.5M 15 Mic","Aluminum Foil (2pcs) 30CM 7.5M 15Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-3001817","רדיד אלומיניום  30CM 18M 17Mic","Aluminum Foil 30CM 18M 17Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-30055018","רדיד אלומיניום 30CM 55M 18Mic ארוז 15 בקרטון","Aluminum roll 30CM 55M 18Mic 15 in a case","כן","46.5","-","11","0.021","15","הכל בסדר"
"150-30060014","רדיד אלומיניום 30CM 60.9M 14Mic (ארוז 15 בקרטון)","Aluminum Foil 30CM 60M 14Mic 15 in a case","כן","36.9","-","11","0.023","15","הכל בסדר"
"150-30060015","רדיד אלומיניום 30CM 60.9M 15Mic ארוז 15 בקרטון","Aluminum Foil 30CM 60.9M 15Mic 15 in a pack","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-30060016","רדיד אלומיניום 30CM 60.9M 16Mic ארוז 15 בקרטון","Aluminum Foil 30CM 60.9M 16Mic 15 in a pack","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-30060018","רדיד אלומיניום 30CM 60M 18Mic ארוז 15 בקרטון","Aluminum roll 30CM 60.9M 18Mic","כן","52.93","-","11","0.021","15","הכל בסדר"
"150-3007012","רדיד אלומיניום זוג 30CM 7.5M 12Mic ארוז 18 בקרטון","Aluminum Foil(2pcs)30CM 7.5M 12Mic","כן","13.14","-","11","0.027","18","הכל בסדר"
"150-3007014","רדיד אלומיניום זוג 30CM 7.5M 14Mic ארוז 18 בקרטון","Aluminum Foil(2pcs)30CM 7.5M 14Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-3007020","רדיד אלומיניום זוג 30CM 7.5M 20Mic ארוז 18 בקרטון","Aluminum Foil(2pcs)30CM 7.5M 20Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-30100010","רדיד אלומיניום 30CM 100M 10Mic","Aluminum Foil 30CM 100M 10Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45007011","רדיד אלומיניום זוג 45CM 7.5M 11Mic ארוז 18 בקרטון","Aluminum Foil (2pcs) 45CM 7.5M 11Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45007012","רדיד אלומיניום זוג 45CM 7.5M 12Mic ארוז 18 בקרטון","Aluminum Foil (2pcs) 45CM 7.5M 12Mic","כן","18.18","-","11","0.04","18","הכל בסדר"
"150-45007014","רדיד אלומיניום זוג 45CM 7.5M 14Mic ארוז 18 בקרטון","Aluminum Foil(2pcs)45CM 7.5M 14Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45007015","רדיד אלומניום 7.5 זוג 45CM 7.5M 15Mic","Aluminum Foil(2pcs) 45CM 7.5M 15Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45007018","רדיד אלומיניום  45CM 7.5M 18Mic","Aluminum Foil 45CM 7.5M 18Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-4501817","רדיד אלומיניום  45CM 18M 17Mic","Aluminum Foil 45CM 18M 17Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45030018","רדיד אלומיניום 45CM 30M 18Mic","Aluminum Foil 45CM 30M 18Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45040014","רדיד אלומיניום 45CM 40M 14Mic","Aluminum Foil 45CM 40M 14Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45040018","רדיד אלומיניום 45CM 40M 18 Mic (15 בקרטון)","Aluminum Foil 45CM 40M 18 Mic 15 in a case","כן","50.7","-","11","0.031","15","הכל בסדר"
"150-45050014","רדיד אלומיניום 45CM 50M 14Mic ארוז 12 בקרטון","Aluminum Foil 45CM 50M 14Mic","כן","36.18","-","11","0.024","12","הכל בסדר"
"150-45050015","רדיד אלומיניום 45CM 50M 15Mic","Aluminum Foil45CM 50M 15Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45050016","רדיד אלומיניום 45CM 50M 16Mic ארוז 12 בקרטון","Aluminum Foil 45CM 50M 16Mic 12 in a case","כן","46.45","-","11","0.024","12","הכל בסדר"
"150-45050018","רדיד אלומיניום 45CM 50M 18Mic","Aluminum Foil 45CM 50M 18Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45054018","רדיד אלומיניום 45CM 54M 18Mic","Aluminum Foil 45CM 54M 18Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45055018","רדיד אלומיניום  45CM 55M 18Mic","Aluminum Foil 45CM 55M 18Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45060018","רדיד אלומיניום  45CM 60M 18Mic","Aluminum Foil 45CM 60M 18Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45065015","רדיד אלומיניום 45CM 65M 15 Mic","Aluminum Foil45CM 65M 15Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-4507020","רדיד אלומיניום זוג 45CM 7.5M 20Mic ארוז 18 בקרטון","Aluminum Foil(2pcs)45CM 7.5M 20Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45100012","רדיד אלומיניום 45CM 100M 12Mic","Aluminum Foil45CM 100M 12Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45100014","רדיד אלומיניום 45CM 100M 14Mic","Aluminum Foill 45CM 100M 14Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45100015","רדיד אלומיניום 45CM 100M 15Mic","Aluminum Foil45CM 100M 15Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45100016","רדיד אלומיניום 45CM 100M 16Mic","Aluminum Foil 45CM 100M 16Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-45100018","רדיד אלומיניום 45CM 100M 18Mic","Aluminum Foill 45CM 100M 18Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-60003110","רדיד אלומיניום פסח 110מיק  60 ס"מ 3 מטר אורך, ארוז 12 בקרטון","Aluminum Foil 110Mic 60Cm 3m (12 Pcs/Ctn)","כן","29.06","-","11","0.016","12","הכל בסדר"
"150-60003120","רדיד אלומיניום פסח 120מיק 60 ס"מ 3 מטר אורך(ארוז 12 בקרטון)","Aluminum Foil 120Mic 60Cm 3m","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-60005040","רדיד אלומיניום פסח 40מיק 60 ס"מ 5 מטר אורך (ארוז 12 בקרטון)","Aluminum roll 40Mic 60Cm 5m (12 Pcs/Ctn)","כן","19.51","-","11","0.014","12","הכל בסדר"
"150-60005080","רדיד אלומיניום פסח 80מיק 60 ס"מ 5 מטר אורך (ארוז 12 בקרטון)","Aluminum Foil 80Mic 60Cm 5m (12 Pcs/Ctn)","כן","29.87","-","11","0.016","12","הכל בסדר"
"150-80003110","רדיד אלומיניום פסח 110מיק  80 ס"מ 3 מטר אורך","Aluminum Foil 110Mic 80Cm 3m (12 Pcd/Ctn)","כן","38.33","-","11","0.021","12","הכל בסדר"
"150-80003120","רדיד אלומיניום פסח 120מיק 80 ס"מ 3 מטר אורך","Aluminum Foil 120Mic 80Cm 3m (packed 12)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-80005040","רדיד אלומיניום פסח 40מיק 80 ס"מ 5 מטר אורך (ארוז 12בקרטון)","Aluminum Foil 40Mic 80Cm 5m (12 Pcs/Ctn)","כן","25.61","-","11","0.018","12","הכל בסדר"
"150-80005080","רדיד אלומיניום פסח 80מיק 80 ס"מ 5 מטר אורך (ארוז 12)","Aluminum Foil 80Mic 80Cm 5m (12 Pcs/Ctn)","כן","46.64","-","11","0.021","12","הכל בסדר"
"150-9-4500","רדיד אלומיניום 45CM 50M 14 Mic","Aluminum Foil 45CM 50M 14Mic","כן","15.02","-","11","0.023","6","הכל בסדר"
"150-9-4505","רדיד אלומיניום 45CM 65M 15 Mic 1.3Kg","Aluminum Foil 45CM 65M 15Mic 1.3Kg","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-9-4512","רדיד אלומיניום 30CM 100M 10Mic","Aluminum Foil 30CM 100M 10Mic","כן","14.49","-","11","0.016","6","הכל בסדר"
"150-9-4513","רדיד אלומיניום 45CM 54M 18Mic 1.3Kg","Aluminum Foil 45CM 54M 18Mic 1.3Kg","כן","20.49","-","11","0.023","6","הכל בסדר"
"150-9-4514","רדיד אלומיניום 45CM 40M 18Mic 1Kg","Aluminum Foil 45CM 40M 18Mic 1Kg","לא","-","-","-","-","-","פריט לא קיים במערכת"
"150-9-4515","רדיד אלומיניום 45CM 100M 12Mic 1.6Kg","Aluminum Foil 45CM 100M 12Mic 1.6Kg","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-27030","רדיד אלומיניום חתוך בשרי/חלבי 27*30 (100 יחי) ארוז 24 בקרטון","Precut foil fleshy/milky 27*30(packed 100) 24 in a casl","כן","40.56","-","-","0.032","24","קטגוריה"
"155-30002014","רדיד אלומניום בשרי/חלבי 30CM 20M 14Mic ארוז 30 בקרטון","Aluminum Foil fleshy/milky 30CM 20M 14Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-30002016","רדיד אלומניום בשרי/חלבי 30CM 20M 16Mic ארוז 30 בקרטון","Aluminum Foil fleshy/milky 30CM 20M 16Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-30002018","רדיד אלומניום בשרי/חלבי 30CM 20M 18Mic ארוז 30 בקרטון","Aluminum Foil fleshy/milky 30CM 20M 18Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-30007014","רדיד אלומיניום זוג בשרי/חלבי 30CM 7.5M 14 Mic ארוז 18 בקרטון","Aluminum Foil fleshy/milky (2pcs) 30CM 7.5M 14Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-30007016","רדיד אלומיניום זוג בשרי/חלבי 30CM 7.5M 16 Mic ארוז 18 בקרטון","Aluminum Foil fleshy/milky (2pcs) 30CM 7.5M 16Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-30018017","רדיד אלומיניום שלישייה בשרי/חלבי 30CM 18M 17Mic(ארוז 6 בקרטון)","Aluminum Foil 30CM 18M 17Mic (packed 3)6 in a case","כן","31.68","-","11","0.024","6","הכל בסדר"
"155-3001817","רדיד אלומניום בשרי/חלבי 30CM 18M 17Mic","Aluminum Foil fleshy/milky 30CM 18M 17Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-30060016","רדיד אלומניום בשרי/חלבי 30CM 60.9M 16Mic","Aluminum Foil fleshy/milky 30CM 60.9M 16Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-42035","נייר כסף צבעוני חתוך בשרי/חלבי 35 *42(50 יחי) ארוז 24 בקרטון","Aluminum colourful Pop up 50 Foil sheet 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-45007014","רדיד אלומיניום זוג בשרי/חלבי 45CM 7.5M 14 Mic ארוז 18 בקרטון","Aluminum Foil fleshy/milky (2pcs) 30CM 7.5M 14Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-45007016","רדיד אלומיניום זוג בשרי/חלבי 45CM 7.5M 16 Mic ארוז 18 בקרטון","Aluminum Foil fleshy/milky (2pcs)45CM 7.5M 16Mic","לא","-","-","-","-","-","פריט לא קיים במערכת"
"155-45018017","רדיד אלומיניום שלישייה בשרי/חלבי 45CM 18M 17Mi (ארוז 6 בקרטון)","Aluminum Foil  45CM 18M 17Mic(packed 3)6 in a case","כן","45.36","-","11","0.024","6","הכל בסדר"
"160-4531","ניר פרגמנט כוורת עם ציפוי אלומינים","Honeycomb fragment paper with aluminum coating","לא","-","-","-","-","-","פריט לא קיים במערכת"
"18","הובלה אוירית  = פטור","Air freight","כן","-","-","-","-","1","מחיר ספק; קטגוריה; CBM לקרטון"
"180-06005","טפט לשיש 60 ס"מ צבע שיש  5 מטר ארוז 24 בקרטון","marble  sticke 60cm 5m  24 in a case","כן","44.22","-","-","0.031","24","אחוז רווח (לקטגוריה)"
"180-06015","טפט לשיש 61 ס"מ צבע כסף 5 מטר ארוז 24 בקרטון","kitchen sticke 61cm 5m  24 in a case","כן","37.3","-","-","0.031","24","קטגוריה"
"180-06703","טפט לשיש 67 ס"מ 3 מטר ארוז 24 בקרטון","marble sticker 67cm 3m  24 in a case","כן","23.5","-","-","0.028","24","קטגוריה"
"180-06705","טפט לשיש 67 ס"מ 5 מטר ארוז 24 בקרטון","marble sticker 67cm 5m  24 in a case","כן","50.1","-","-","0.034","24","אחוז רווח (לקטגוריה)"
"180-06710","טפט לשיש 67 ס"מ 10 מטר ארוז 12 בקרטון","marble sticker 67cm 10m  12 in a case","כן","48.93","-","-","0.036","12","אחוז רווח (לקטגוריה)"
"180-08003","טפט לשיש 80 ס"מ 3 מטר ארוז 24 בקרטון","kitchen sticke 80 cm 3m 24 in a case","כן","38.64","-","-","0.031","24","אחוז רווח (לקטגוריה)"
"180-08005","טפט לשיש 80 ס"מ 5 מטר ארוז 12 בקרטון","kitchen sticke 80 cm 5m  12in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"180-2100","ערכה להדבקת טפט ארוז 100","Kit for gluing wallpaper packed 100","כן","18.7","-","-","0.012","100","קטגוריה"
"180-2101","ערכת בליסטר להדבקת טפט באריזת דיספליי ארוז 48","Kit for gluing wallpaper display box packed 48","כן","16","-","-","0.019","48","אחוז רווח (לקטגוריה)"
"200-47024","אובלי פרימיום הדפס מסגרת (10 יח') ארוז 12 בקרטון","Hot stamp Oval Bowl (Packed 10) 12 in a case","כן","6","-","18","0.013","12","הכל בסדר"
"200-47025","לפתניה פרימיום הדפס מסגרת (10 יח') ארוז 12 בקרטון","Hot stamp Dessert Bowl 5"(Packed 10) 12 in a case","כן","6.3","-","18","0.01","12","הכל בסדר"
"200-47026","צלחת פרימיום 7" הדפס מסגרת  (10 יח') ארוז 12 בקרטון","Hot stamp Plate 7" (Packed 10) 12 in a case","כן","6.6","-","18","0.01","12","הכל בסדר"
"200-47027","צלחת פרימיום 9" הדפס מסגרת (10 יח') ארוז 12 בקרטון","Hot stamp Plate 9"  (Packed 10) 12 in a case","כן","10.2","-","18","0.014","12","הכל בסדר"
"200-47028","צלחת פרימיום 10" הדפס מסגרת ( 10 יח') ארוז 12 בקרטון","Hot stamp Plate 10" (Packed 10) 12 in a case","כן","12.36","-","18","0.017","12","הכל בסדר"
"200-47029","מרקייה פרימיום 7.5" הדפס מסגרת (10 יח') ארוז 12 בקרטון","Hot stamp Bowl 7.5" (Packed 10) 12 in a case","כן","9.48","-","18","0.024","12","הכל בסדר"
"200-47030","צלחת פרימיום 10" הדפס מלא (10 יח') ארוז 12 בקרטון","Hot stamp Plate full design 10" (Packed 10) 12 in a case","כן","15.72","-","18","0.019","12","הכל בסדר"
"200-47030-24","צלחת פרימיום 10" הדפס מלא (10 יח') ארוז 24 בקרטון","Hot stamp Plate full design 10" (Packed 10) 24 in a case","כן","32.8","-","18","0.037","24","הכל בסדר"
"200-47031","צלחת פרימיום 9" הדפס מלא (10 יח') ארוז 12 בקרטון","Hot stamp Plate full design 9" (Packed 10) 12 in a case","כן","13.2","-","18","0.015","12","הכל בסדר"
"200-47031-24","צלחת פרימיום 9" הדפס מלא (10 יח') ארוז 24 בקרטון","Hot stamp Plate full design 9" (Packed 10) 24 in a case","כן","27.98","-","18","0.029","24","הכל בסדר"
"200-47032","צלחת פרימיום 7" הדפס מלא (10 יח') ארוז 12 בקרטון","Hot stamp Plate full design 7" (Packed 10) 12 in a case","כן","8.28","-","18","0.01","12","הכל בסדר"
"200-47032-24","צלחת פרימיום 7" הדפס מלא (10 יח') ארוז 24 בקרטון","Hot stamp Plate full design 7" (Packed 10) 24 in a case","כן","17.15","-","18","0.02","24","הכל בסדר"
"200-47033","מרקייה פרימיום 7.5" הדפס מלא (10 יח') ארוז 12 בקרטון","Hot stamp Bowl  full design 7.5"(Packed 10) 12 in a case","כן","9.66","-","18","0.023","12","הכל בסדר"
"200-47033-24","מרקייה פרימיום 7.5" הדפס מלא (10 יח') ארוז 24 בקרטון","Hot stamp Bowl  full design 7.5"(Packed 10) 24 in a case","כן","21.6","-","18","0.046","24","הכל בסדר"
"200-47034","לפתניה פרימיום 5" הדפס מלא (10 יח') ארוז 12 בקרטון","Hot stamp Dessert Bowl full design (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-47034-24","לפתניה פרימיום 5" הדפס מלא (10 יח') ארוז 24 בקרטון","Hot stamp Dessert Bowl full design (Packed 10) 24 in a case","כן","12.96","-","18","0.02","24","הכל בסדר"
"200-47035","אובלי פרימיום הדפס מלא (10 יח') ארוז 12 בקרטון","Hot stamp Oval Bowl full design (Packed 10) 12 in a case","כן","6.12","-","18","0.013","12","הכל בסדר"
"200-47035-24","אובלי פרימיום הדפס מלא (10 יח') ארוז 24 בקרטון","Hot stamp Oval Bowl full design (Packed 10) 24 in a case","כן","12.96","-","18","0.025","24","הכל בסדר"
"200-47036","צלחת לורן 10"  (10 יח') ארוז 24 בקרטון","Circle  Plate  10" (Packed 10) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-47037","צלחת לורן 9"  (10 יח') ארוז 24 בקרטון","Circle  Plate  9" (Packed 10) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-47038","צלחת לורן 7" (10 יח') ארוז 24 בקרטון","Circle  Plate  7" (Packed 10) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-47040","לפתניה לורן  (10 יח') ארוז 24 בקרטון","Circle small bowl  (Packed 10) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-47041","אובלי פרימיום הדפס מלא (10 יח') ארוז 24 בקרטון","Hot stamp Oval Bowl full design (Packed 10) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-47042","מרקייה לורן (10 יח') ארוז 24 בקרטון","Circle big bowl (Packed 10) 24 in a case","כן","22.68","-","18","0.049","24","הכל בסדר"
"200-47043","מרקייה לורן שקוף פס זהב (10 יח') ארוז 12  בקרטון","Circle big bowl Clear with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-5001","מיכל רוטב 1oz (100 יח') ארוז 10 בקרטון","Sauce container 1oz  (Packed 100) 10 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-5002","מיכל רוטב 2oz (100 יח') ארוז 10 בקרטון","Sauce container 2o (Packed 100) 10 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-5005","מיכל רוטב 2.7oz (100 יח') ארוז10 בקרטון","Sauce container 2o (Packed100) 10 in a case","כן","-","-","15","-","10","מחיר ספק; CBM לקרטון"
"200-5100","מגש 12" (4 יח) ארוז 10 בקרטון","Round Tray 12" (packed 4) 10 in a casa","כן","9.2","-","-","0.012","1","אחוז רווח (לקטגוריה)"
"200-5101","מגש 14" (3 יח) ארוז 10 בקרטון","Round Tray 14" (packed 3) 10 in a casa","כן","9.3","-","-","0.014","10","אחוז רווח (לקטגוריה)"
"200-5102","מגש 16" (2 יח) ארוז 10 בקרטון","Round Tray 16" (packed 2) 10 in a casa","כן","7.84","-","-","0.013","10","אחוז רווח (לקטגוריה)"
"200-5103","מגש 9X13 (5 יח') ארוז 10 בקרטון","9X13 Tray Rectangular (packed 5) 10 in a casa","כן","12","-","-","0.011","10","אחוז רווח (לקטגוריה)"
"200-5104","קערה עגולה קטן (5 יח') ארוז 10 בקרטון","Small Salad Bowl(packed 5) 10 in a case","כן","8.57","-","-","0.018","10","אחוז רווח (לקטגוריה)"
"200-5105","קערה עגולה בינוני (3 יח') ארוז 10 בקרטון","Middle Round Bowl(packed 3) 10 in a case","כן","11.57","-","-","0.027","10","אחוז רווח (לקטגוריה)"
"200-5106","קערה עגולה גדול (2 יח') ארוז 10 בקרטון","Big Round Bowl(packed 2) 10 in a case","כן","9.15","-","-","0.035","10","אחוז רווח (לקטגוריה)"
"200-5107","מגש 9X13 פס זהב (5 יח') ארוז 10 בקרטון","9X13 Tray Rectangular with gold rim (packed 5) 10 in a casa","כן","12.6","-","-","0.011","1","אחוז רווח (לקטגוריה)"
"200-5108","קערה לסלט פסים פס זהב 22.5 ס"מ ארוז 48 בקרטון","small salad bowl stripes with gold rim(packed 48)","כן","24","-","-","0.031","1","אחוז רווח (לקטגוריה)"
"200-5601","לפתנייה אובלית וינטג'  (10 יח') ארוז 12 בקרטון","oval vintage bowl (pack 10) 12 in case","כן","5.16","-","18","0.012","12","הכל בסדר"
"200-5602","לפתנייה וינטג'  (10 יח') ארוז 12 בקרטון","small vintage bowl (pack 10) 12 in case","כן","5.16","-","18","0.011","12","הכל בסדר"
"200-5603","מרקיה וינטג'  (10 יח') ארוז 12 בקרטון","Big vintage bowl (pack 10) 12 in case","כן","7.8","-","18","0.024","12","הכל בסדר"
"200-5604","צלחת וינטג' 7" (10 יח') ארוז 12 בקרטון","7" vintage plate (pack 10) 12 in case","כן","5.94","-","18","0.009","12","הכל בסדר"
"200-5605","צלחת וינטג' 9" (10 יח') ארוז 12 בקרטון","9" vintage plate (pack 10) 12 in case","כן","8.4","-","18","0.014","12","הכל בסדר"
"200-5606","צלחת וינטג' 10" (10 יח') ארוז 12 בקרטון","10" vintage plate (pack 10) 12 in case","כן","10.8","-","18","0.016","12","הכל בסדר"
"200-5607","צלחת וינטג מנטה 10" (10 יח') ארוז 12 בקרטון","10" Mint Vintage Plate (pack 10) 12 in case","כן","10.8","-","18","0.016","1","הכל בסדר"
"200-5608","צלחת וינטג מנטה 9" (10 יח') ארוז 12 בקרטון","9" Mint Vintage Plate (pack 10) 12 in case","כן","8.4","-","18","0.011","1","הכל בסדר"
"200-5609","צלחת וינטג מנטה 7" (10 יח') ארוז 12 בקרטון","7" Mint Vintage Plate (pack 10) 12 in case","כן","5.94","-","18","0.008","1","הכל בסדר"
"200-5610","מרקיה וינטג' מנטה  (10 יח') ארוז 12 בקרטון","Mint Big Vintage Bowl (pack 10) 12 in case","כן","7.8","-","18","0.023","1","הכל בסדר"
"200-5611","לפתנייה וינטג' מנטה (10 יח') ארוז 12 בקרטון","Mint Small Vintage Bowl (pack 10) 12 in case","כן","5.16","-","18","0.01","1","הכל בסדר"
"200-5612","לפתנייה אובלית וינטג' מנטה  (10 יח') ארוז 12 בקרטון","Mint Oval Vintage Bowl (pack 10) 12 in case","כן","5.16","-","18","0.011","1","הכל בסדר"
"200-5613","צלחת וינטג כחול ים 10" (10 יח') ארוז 12 בקרטון","10" Sea Blue  Vintage Plate (pack 10) 12 in case","כן","10.8","-","18","0.016","1","הכל בסדר"
"200-5614","צלחת וינטג כחול ים 9" (10 יח') ארוז 12 בקרטון","9" Sea Blue Vintage Plate (pack 10) 12 in case","כן","8.4","-","18","0.011","1","הכל בסדר"
"200-5615","צלחת וינטג כחול ים 7" (10 יח') ארוז 12 בקרטון","7" Sea Blue Vintage Plate (pack 10) 12 in case","כן","5.94","-","18","0.008","1","הכל בסדר"
"200-5616","מרקיה וינטג' כחול ים  (10 יח') ארוז 12 בקרטון","Sea Blue Big Vintage Bowl (pack 10) 12 in case","כן","7.8","-","18","0.023","1","הכל בסדר"
"200-5617","לפתנייה וינטג' כחול ים (10 יח') ארוז 12 בקרטון","Sea Blue Small Vintage Bowl (pack 10) 12 in case","כן","5.16","-","18","0.01","1","הכל בסדר"
"200-5618","לפתנייה אובלית וינטג' כחול ים (10 יח') ארוז 12 בקרטון","Sea Blue Oval Vintage Bowl (pack 10) 12 in case","כן","5.16","-","18","0.011","1","הכל בסדר"
"200-5619","צלחת וינטג קרם 10" (10 יח') ארוז 12 בקרטון","10" Cream Vintage Plate (pack 10) 12 in case","כן","10.8","-","18","0.016","1","הכל בסדר"
"200-5620","צלחת וינטג קרם 9" (10 יח') ארוז 12 בקרטון","9" Cream  Vintage Plate (pack 10) 12 in case","כן","8.4","-","18","0.011","1","הכל בסדר"
"200-5621","צלחת וינטג קרם 7" (10 יח') ארוז 12 בקרטון","7" Cream  Vintage Plate (pack 10) 12 in case","כן","5.94","-","18","0.008","1","הכל בסדר"
"200-5622","מרקיה וינטג' קרם  (10 יח') ארוז 12 בקרטון","Cream  Big Vintage Bowl (pack 10) 12 in case","כן","7.8","-","18","0.023","1","הכל בסדר"
"200-5623","לפתנייה וינטג' קרם (10 יח') ארוז 12 בקרטון","Cream  Small Vintage Bowl (pack 10) 12 in case","כן","5.16","-","18","0.01","1","הכל בסדר"
"200-5624","לפתנייה אובלית וינטג' קרם (10 יח') ארוז 12 בקרטון","Cream  Oval Vintage Bowl (pack 10) 12 in case","כן","5.16","-","18","0.011","1","הכל בסדר"
"200-5625","צלחת וינטג ורוד בייבי 10" (10 יח') ארוז 12 בקרטון","10" Baby Pink  Vintage Plate (pack 10) 12 in case","כן","10.8","-","18","0.016","1","הכל בסדר"
"200-5626","צלחת וינטג ורוד בייבי 9" (10 יח') ארוז 12 בקרטון","9" Baby Pink Vintage Plate (pack 10) 12 in case","כן","8.4","-","18","0.011","1","הכל בסדר"
"200-5627","צלחת וינטג ורוד בייבי 7" (10 יח') ארוז 12 בקרטון","7" Baby Pink Vintage Plate (pack 10) 12 in case","כן","5.94","-","18","0.008","1","הכל בסדר"
"200-5628","מרקיה וינטג' ורוד בייבי  (10 יח') ארוז 12 בקרטון","Baby Pink Big Vintage Bowl (pack 10) 12 in case","כן","7.8","-","18","0.023","1","הכל בסדר"
"200-5629","לפתנייה וינטג' ורוד בייבי (10 יח') ארוז 12 בקרטון","Baby Pink Small Vintage Bowl (pack 10) 12 in case","כן","5.16","-","18","0.01","1","הכל בסדר"
"200-5630","לפתנייה אובלית וינטג' ורוד בייבי (10 יח') ארוז 12 בקרטון","Baby Pink Oval Vintage Bowl (pack 10) 12 in case","כן","5.16","-","18","0.011","1","הכל בסדר"
"200-5632-1","צלחת וינטג גרז' 10" (10 יח') ארוז 12 בקרטון","10" Garz Vintage Plate (pack 10) 12 in case","כן","10.8","-","18","0.016","1","הכל בסדר"
"200-5632-2","צלחת וינטג לבן 10" (10 יח') ארוז 12 בקרטון","10" white Vintage Plate (pack 10) 12 in case","כן","10.8","-","18","0.016","1","הכל בסדר"
"200-5632-3","צלחת וינטג חום 10" (10 יח') ארוז 12 בקרטון","10" brown Vintage Plate (pack 10) 12 in case","כן","10.8","-","18","0.016","1","הכל בסדר"
"200-5633-1","צלחת וינטג גרז' 9" (10 יח') ארוז 12 בקרטון","9" Garz Vintage Plate (pack 10) 12 in case","כן","8.4","-","18","0.011","1","הכל בסדר"
"200-5633-2","צלחת וינטג לבן 9" (10 יח') ארוז 12 בקרטון","9" white Vintage Plate (pack 10) 12 in case","כן","8.4","-","18","0.011","1","הכל בסדר"
"200-5633-3","צלחת וינטג חום 9" (10 יח') ארוז 12 בקרטון","9" brown Vintage Plate (pack 10) 12 in case","כן","8.4","-","18","0.011","1","הכל בסדר"
"200-5634-1","צלחת וינטג גרז' 7" (10 יח') ארוז 12 בקרטון","7" Garz Vintage Plate (pack 10) 12 in case","כן","5.94","-","18","0.008","1","הכל בסדר"
